,job_title,cluster
42,Analista De Testes Pleno,8
43,Analista De Suporte Júnior,8
44,Analista De Suporte,8
55,Analista de Suporte Jr,8
82,Analista De Suporte Pleno,8
91,Analista Administrativo,8
97,Analista TI,8
113,Analista De Recrutamento E Seleção,8
157,Analista De Sistemas,8
181,Analista de Experi&ecirc;ncia do Cliente,8
185,Analista Fiscal e Cont&aacute;bil,8
190,Analista de Negócios Pleno - Analytics,8
208,Analista SRE Senior,8
278,Analista Pleno,8
307,Analista De Sucesso Do Cliente,8
311,Analista De Suporte Ao Produto,8
378,Analista,8
385,Analista De Produtos Pleno,8
394,Analista Documental,8
413,Analista de qualidade Jr,8
480,Analista De Conteúdo Júnior,8
499,Analista De Suporte Senior,8
513,Analista De Sistemas Pleno,8
536,Analista De Desenvolvimento Júnior,8
548,Analista De Processos,8
554,Analista De Qualidade,8
561,Analista Comercial Jú nior,8
567,Analista Júnior,8
586,Analista Editorial,8
610,Analista Cobranzas,8
617,Analista De Qualidade Júnior,8
622,Analista De Relacionamento Com O Cliente,8
672,Analista De Suporte De Sistemas,8
690,Analista De Dados,8
720,Analista De Qualidade Senior,8
726,Analista Financeiro Pleno,8
730,Analista de Conteúdo Editorial,8
773,Analista De De Processos,8
775,Analista Editorial Júnior,8
816,Analista De Suporte Ao Produto IV,8
826,Analista De Operações Júnior,8
832,Analista De Testes,8
851,Analista Funcional Junior,8
866,Analista De Relacionamento,8
876,Analista Funcional,8
989,Analista De Operações Editoriais Junior,8
1027,Analista De Negócios,8
1047,Analista De Operações,8
1060,Analista De Pré-vendas,8
1079,Analista De Conteúdo Editorial Júnior,8
1088,Analista De Operações Editoriais Júnior,8
1089,Analista De Help Desk,8
1156,Analista De Qualidade Pleno,8
1159,Analista De Planeación Financiera,8
1191,Analista De Novos Negócios,8
1219,Analista Financeiro Júnior,8
1220,Analista De Cobranza,8
1233,Analista De Conteúdo,8
1245,Analista De Control De Inventário,8
1326,Analista De Operações Editoriais Pleno,8
1771,Analista De Implantação,8
1806,Analista De Solicitações,8
1829,Analista de produção editorial,8
1896,Analista Cuantitativo,8
1899,Analista De Engenharia,8
1904,Analista De Suporte Externo Júnior,8
1921,Analista Funcional J&uacute;nior,8
1955,Analista De Contratos,8
1973,Analista Suporte,8
1975,Analista Senior De Impuestos,8
1985,Analista De Suporte Pleno II,8
2011,Analista De Cobrança,8
2020,Analista Financiero Junior,8
2070,Analista De Requisitos Pleno,8
2079,Analista De Suporte Computacional,8
2125,Analista De Negocios,8
2158,Analista De Soluções,8
2184,Analista de Qualidade Editorial Jr,8
2200,Analista de Conteúdo e Treinamento,8
2215,Analista De Negócios V,8
2221,Analista De Experiência Do Cliente,8
2246,Analista de Sistemas S&ecirc;nior,8
2255,Analista de qualidade sr,8
2263,Analista Suporte Atendimento,8
2266,Analista de Qualidade J&uacute;nior,8
2269,Analista de Neg&oacute;cios,8
2300,Analista De Neg&oacute;cios J&uacute;nior,8
2315,Analista Financeiro JÚ Nior,8
2321,Analista de Suporte S&ecirc;nior,8
2324,Analista Suporte Pleno,8
2326,Analista De Suporte IV,8
2327,Analista De Desenvolvimento J&uacute;nior,8
2333,Analista De Projetos J&uacute;nior,8
2342,Analista de Conte&uacute;do Editorial,8
2346,Analista Desenvolvedor S&ecirc;nior,8
2363,Analista Desenvolvedor,8
2377,Analista Profesional,8
2409,Analista Senior,8
2412,Analista T cnico Funcional,8
2417,Analista Desenvolvedor.NET,8
2424,Analista Desenvolvedor 6,8
2436,Analista Administrativa,8
2444,Analista de crédito em cobrança,8
2456,Analista De Sistemas Júnior,8
2459,Analista De Suporte Computacional Junior,8
2512,Analista De Desenvolvimento Pleno,8
2567,Analista Funcional Pleno,8
2651,Analista De Negócios Pleno,8
2665,Analista De Inteligência De Mercado,8
2677,Analista Desenvolvedor Pleno,8
2682,Analista De Requisitos,8
2705,Analista De Testes Júnior,8
2719,Analista De Suporte Ao Cliente,8
2737,Analista De Configuração,8
2740,Analista Comercial,8
2760,Analista de atendimento,8
2765,Analista Comercial Pleno,8
2768,Analista De Negócios Júnior,8
2803,Analista De Atendimento Pleno,8
